id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
449532,Spencer House - Garden Room ,1877737,Cami And Carol,,Haight Ashbury,37.771394844957776,-122.44050434860561,Private room,195,3,75,2015-08-23,1.88,5,347
6748152,"Charming, sunny room!",4870160,Zach,,Haight Ashbury,37.77197158733085,-122.44141601014492,Private room,84,1,0,,,1,60
5550110,Breath-taking views of the city ,5455338,Simona,,Haight Ashbury,37.77017302295094,-122.43974616933338,Private room,120,1,0,,,1,155
449528,Spencer House -The Farallon Room ,1877737,Cami And Carol,,Haight Ashbury,37.77135819255993,-122.4394869287911,Private room,215,3,49,2015-08-24,1.27,5,344
449505,Spencer House - French Room,1877737,Cami And Carol,,Haight Ashbury,37.77034042435534,-122.44058151552572,Private room,245,3,64,2015-08-17,1.64,5,353
6783618,"Beautiful Spot, BBQ patio & parking",5173902,,,Haight Ashbury,37.77482239295009,-122.44416873570175,Private room,100,14,0,,,1,56
5286047,Stylish NOPA Pad,1674453,,,Haight Ashbury,37.77612045160735,-122.44048032026961,Entire home/apt,225,1,8,2015-08-31,1.35,1,335
283235,Sunny and spacious 2BR in NoPA,909675,,,Haight Ashbury,37.77505168402022,-122.43989750080824,Entire home/apt,300,4,3,2013-01-09,0.07,1,252
5960738,Historic Sunny Cole Valley Flat,27513654,Steve,,Haight Ashbury,37.766236714080506,-122.4527802937216,Entire home/apt,480,1,2,2015-08-11,0.56,1,321
130565,Large flat in Cole Valley (w/cat),642739,Margaret,,Haight Ashbury,37.76570437020918,-122.44858497595678,Entire home/apt,275,5,5,2013-08-18,0.10,1,89
3544257,Charming 1 br w/prking + laundry,17842480,Warren,,Haight Ashbury,37.763438631498424,-122.44683187264336,Shared room,250,1,0,,,1,0
783149,Chic Modern Cole Valley Apartment ,4111317,Arnold & Amy,,Haight Ashbury,37.766876784236295,-122.44727899277524,Entire home/apt,240,3,111,2015-08-20,3.78,1,306
2585167,Beautiful flat in SF,13236139,Mike & Shirley,,Haight Ashbury,37.77267633075199,-122.4396098373431,Entire home/apt,200,2,5,2015-06-29,0.39,2,2
8013423,"Clean, quiet, comfy 2/2 in Haight",5535854,Rachel,,Haight Ashbury,37.76639439811716,-122.44752085654684,Entire home/apt,225,2,0,,,1,250
64846,1 BR Queen Anne Victorian (Haight),69245,Katherine,,Haight Ashbury,37.77056379057769,-122.44512358933737,Entire home/apt,150,3,44,2015-07-09,0.77,1,305
245481,Huge 2-level Apt in Ashbury Heights,374909,,,Haight Ashbury,37.766665907339565,-122.4459378233082,Entire home/apt,600,30,47,2015-07-29,1.00,1,52
1768239,Stunning Views2 near Haight&Castro!,3685746,,,Haight Ashbury,37.763572241533815,-122.44581171218334,Entire home/apt,190,30,31,2015-08-17,1.35,2,242
126046,SF Victorian With Skyline Views ,625762,,,Haight Ashbury,37.7681347587221,-122.44493597270328,Entire home/apt,295,30,73,2015-08-24,1.51,2,361
2026910,Sweet Edwardian NOPA 3Bd w/Views,7096906,,,Haight Ashbury,37.77399814795163,-122.45309111208128,Entire home/apt,550,29,64,2015-08-17,3.32,1,330
5762374,Private Room and Bath Near GG Park,22687150,Adam,,Haight Ashbury,37.76872761365776,-122.45157316514623,Private room,140,1,26,2015-08-24,6.45,1,95
2485508,"Sunny & Safe for Moscone, GG Park",9918093,Kris,,Haight Ashbury,37.76117573142209,-122.44797004530936,Private room,119,2,19,2015-08-16,1.44,1,174
6909057,Affordable Room in Beautiful NOPA,19058383,Jocelyn,,Haight Ashbury,37.773972608968435,-122.44372003994069,Private room,85,1,14,2015-09-01,7.00,1,329
4156536,Upper Haight San Francisco,2445567,Marla,,Haight Ashbury,37.771088049162906,-122.45257208700541,Private room,80,1,2,2015-09-01,0.19,1,349
6645606,Large private two rooms and bath,34785174,Matthew,,Haight Ashbury,37.76598029386411,-122.44450176110587,Private room,175,2,12,2015-08-10,5.81,1,66
1208928,Huge Pad! Cole Valley-Upper Haight,739859,Jeff,,Haight Ashbury,37.76771661003062,-122.44887900961612,Entire home/apt,390,3,26,2015-08-29,1.03,1,226
3697738,Global Modern Cole Valley Victorian,837274,Jay And Tina,,Haight Ashbury,37.76726692685313,-122.44740508516472,Entire home/apt,600,5,0,,,3,201
7302136,"Gorgeous View, Spacious, Sweet Cat",38249439,Janet,,Haight Ashbury,37.76515704945544,-122.44657635846562,Entire home/apt,125,14,1,2015-08-22,1,1,0
1569288,2 Bedroom GG Park & Haight Ashbury,7173175,Minnie,,Haight Ashbury,37.76828796108389,-122.45319597206434,Entire home/apt,350,3,48,2015-08-29,1.99,3,219
6812179,Beautiful Two Story Victorian Condo,35663027,Brian,,Haight Ashbury,37.76978381350102,-122.44489949831343,Entire home/apt,450,2,2,2015-08-10,2,1,59
881061,Duboce Gem on the Hill,279544,Emilie,,Haight Ashbury,37.76943926203879,-122.43646260110744,Entire home/apt,135,4,61,2014-12-29,1.95,1,268
455074,Beautiful Haight/Ashbury Victorian,2261681,David,,Haight Ashbury,37.76963939915844,-122.45138485377869,Entire home/apt,375,2,28,2015-08-08,0.71,1,311
2289801,Spacious room in a classy Victorian,4422662,Siri,,Haight Ashbury,37.77653059265348,-122.43968042231495,Private room,172,1,11,2015-08-23,3.03,1,351
1206261,In the Heart of Haight/Ashbury # 6,4677165,Ashirvadam,,Haight Ashbury,37.771069491329825,-122.44874356882352,Private room,99,1,62,2015-08-25,2.31,6,335
3829713,Great Private Room in Upper Haight,4418755,Trevor,,Haight Ashbury,37.76845800099787,-122.44402936241937,Private room,95,2,8,2015-08-23,3.00,1,123
1954963,Charming Victorian studio in Nopa,6411847,,,Haight Ashbury,37.77607683789839,-122.4409621947733,Entire home/apt,150,3,51,2015-07-29,2.76,1,283
1633933,Rare Loft in Victorian house,484257,Jean-Michel,,Haight Ashbury,37.77210598731743,-122.45305751900308,Private room,119,2,21,2015-08-08,0.90,2,327
1633881,Exclusive Loft in Victorian House,484257,Jean-Michel,,Haight Ashbury,37.7706722350348,-122.45181645782827,Entire home/apt,300,4,6,2015-06-11,0.25,2,184
1206184,In the Heart of Haight/Ashbury # 4,4677165,Ashirvadam,,Haight Ashbury,37.772782329401856,-122.44632376676338,Private room,89,1,93,2015-08-25,3.44,6,90
6186884,Parisian Style Cole Valley Apt,5637331,Amit,,Haight Ashbury,37.762916691912196,-122.44893057989339,Entire home/apt,350,1,0,,,1,71
911029,"Spectacular view, hilltop retreat",4888089,Dan,,Haight Ashbury,37.76284011772393,-122.44624097401164,Entire home/apt,250,4,42,2015-08-24,1.75,2,299
1336798,4 BR Victorian-1 blk from Shopping!,7249327,Judith,,Haight Ashbury,37.77195493335617,-122.44823623307255,Entire home/apt,400,3,46,2015-08-22,1.79,2,305
5466632,Oasis in the Pandhandle ,5796098,Leticia,,Haight Ashbury,37.77361051575406,-122.45210083363153,Entire home/apt,250,3,4,2015-06-29,0.90,1,255
5204426,"4 BR, 2.5BA Family Friendly Home",17130018,Erik,,Haight Ashbury,37.76465334106541,-122.45256807505989,Entire home/apt,600,3,1,2015-07-26,0.77,1,111
7310267,Sunny Quiet Condo Close to GG Park,7852896,Josh And Susan,,Haight Ashbury,37.77429233155976,-122.4458911594682,Entire home/apt,289,2,3,2015-08-31,2.73,1,53
3827821,Haight studio w/Tempurpedic bed!,10185846,David,,Haight Ashbury,37.77282283966975,-122.44432069347364,Entire home/apt,250,2,6,2015-06-27,0.48,1,356
1206233,In the Heart of Haight/Ashbury # 5,4677165,Ashirvadam,,Haight Ashbury,37.771676250600294,-122.44914565142433,Private room,79,1,116,2015-08-26,4.39,6,317
6054929,Cozy Cole Valley Studio Apartment,1360058,Tan,,Haight Ashbury,37.76640687412596,-122.4526808872511,Entire home/apt,165,2,19,2015-08-27,5.43,1,276
7562249,Modern Apt in Victorian Grand Dame,33592967,Katherine,,Haight Ashbury,37.776502548006086,-122.43945866088633,Entire home/apt,205,2,2,2015-09-01,2,1,322
1696666,"Alamo Square, 4Bed & 2Ba, 2400 sqft",8958907,Judy,,Haight Ashbury,37.77610741354884,-122.43813710515487,Entire home/apt,600,1,69,2015-08-18,3.01,3,343
7933365,4BR2BA home by Golden Gate Park,41754401,Naoko,,Haight Ashbury,37.77324466960769,-122.43956858166977,Entire home/apt,490,3,0,,,1,324
746079,Castro/Corbett Heights Condo,1567365,Ian,,Haight Ashbury,37.76303493373032,-122.44956804902746,Private room,125,2,153,2015-08-20,4.44,1,275
7361644,"Grand Haight 4BR Victorian, Parking",38201935,Joe,,Haight Ashbury,37.76917609714161,-122.44458585671573,Entire home/apt,599,2,0,,,2,298
4024884,Elegant Haight Ashbury 3BR,38836,Bernat,,Haight Ashbury,37.769771237217626,-122.44731099202286,Entire home/apt,360,3,8,2015-08-29,0.67,32,217
2222631,Victorian Haight Ashbury 4BR,38836,Bernat,,Haight Ashbury,37.769343650994834,-122.44768993622125,Entire home/apt,443,3,11,2015-07-12,0.57,32,69
1140103,HackerHome - SF Buena Vista: bunk 4,43806,,,Haight Ashbury,37.77108086311984,-122.44471441433528,Shared room,50,30,12,2015-05-03,0.43,1,337
3138935,"Secluded 2BR Garden Apt, Central SF",5391643,Dan,,Haight Ashbury,37.77424379163388,-122.45159028120091,Entire home/apt,250,2,42,2015-08-17,2.75,1,330
6672603,Private bedroom in the heart of SF,8117137,Mark,,Haight Ashbury,37.77185207229084,-122.44067549151038,Private room,100,1,1,2015-06-19,0.39,1,54
7519084,Charming Cole Valley 1BR Apartment,1558459,Mathieu,,Haight Ashbury,37.766650352487154,-122.45138338121171,Entire home/apt,140,3,0,,,1,33
3499089,HackerHome - Haight: bunk 4,43806,,,Haight Ashbury,37.771281365856346,-122.4396418011749,Shared room,55,30,10,2015-07-11,0.72,1,325
6290098,Apt. in ex-b&b in the ❤️ of S.F.,23942099,Robert & Michael,,Haight Ashbury,37.76219110652481,-122.44834937109863,Entire home/apt,300,2,10,2015-08-13,2.75,5,356
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.77161759839722,-122.4383620129092,Private room,79,1,67,2015-08-30,1.08,1,305
581662,SF Victorian in vibrant Haight,2365479,Ilana,,Haight Ashbury,37.773777895785656,-122.44882251151571,Private room,120,2,11,2015-08-10,0.29,1,305
3133434,Modern 2-Unit Cole Valley Victorian,837274,Jay And Tina,,Haight Ashbury,37.76747006315483,-122.44699138511572,Entire home/apt,1250,5,12,2015-08-13,0.97,3,307
4677514,Charming Victorian in Upper Haight,15945245,Kellock,,Haight Ashbury,37.76998166365922,-122.44455889354413,Private room,125,3,2,2015-07-04,0.73,1,258
3861272,Cole Valley Gem 3Bedrooms/2.5Bath,5502762,Gerald,,Haight Ashbury,37.76440665325002,-122.4471924616973,Entire home/apt,300,2,5,2015-06-24,1.60,1,16
4061312,Large House in Awesome Cole Valley,5240472,,,Haight Ashbury,37.765499383967224,-122.45086887244838,Entire home/apt,650,31,16,2015-07-19,1.54,2,234
3569485,Charming Victorian - Haight Ashbury,17929095,Anna,,Haight Ashbury,37.76740848837244,-122.44872851537423,Entire home/apt,200,3,16,2015-08-23,1.20,1,330
678556,Cheerful Private Garden Studio,3453060,Lorraine,,Haight Ashbury,37.77414518169329,-122.45218715907123,Entire home/apt,130,3,172,2015-08-29,4.76,1,259
6749830,2 BR Home in San Francisco,35340793,Monica,,Haight Ashbury,37.760843841522544,-122.4494054564239,Entire home/apt,213,4,6,2015-08-28,2.77,1,58
1728043,Luxury 2BR Victorian with Backyard,4905450,Christopher,,Haight Ashbury,37.76535240048205,-122.45169267959396,Entire home/apt,299,2,18,2015-08-25,4.09,1,29
2406999,Perfect City Apartment (1 br.),240,Tyler & JoAnn,,Haight Ashbury,37.77048047799645,-122.4491697288457,Entire home/apt,197,1,5,2015-08-08,0.31,1,253
1989997,Tree-house Hideaway in the Haight,9490868,Michelle & Jeffrey,,Haight Ashbury,37.7733025630879,-122.44091122049002,Private room,109,1,106,2015-08-16,5.05,1,340
1203526,In the heart of Haight/Ashbury # 3,4677165,Ashirvadam,,Haight Ashbury,37.771390923410095,-122.44729485341784,Private room,99,1,82,2015-08-31,3.07,6,329
2022546,A cozy studio apartment in SF CA,10394613,Lucilene,,Haight Ashbury,37.7725769979306,-122.44181729696622,Entire home/apt,80,2,0,,,1,34
5863297,Classic 3 Bedroom in Haight-Ashbury,126122,Alex,,Haight Ashbury,37.769149988049264,-122.44570754973624,Entire home/apt,250,7,5,2015-08-25,3.00,1,43
6044178,Sunny & Central Alamo Sq. Studio,4452678,Jonathan,,Haight Ashbury,37.775302653829435,-122.43845401370301,Entire home/apt,275,2,7,2015-09-01,1.96,1,354
2217557,"Haight Street, San Francisco",11313326,Yu-Wei,,Haight Ashbury,37.77208504855176,-122.44353848452774,Private room,85,2,68,2015-08-15,4.60,1,13
3626598,Large apartment in the Upper Haight,8900868,John,,Haight Ashbury,37.772895437857336,-122.4448355190087,Entire home/apt,115,2,7,2014-11-05,0.53,1,271
810719,Victorian With A Modern Twist,1572099,Amber,,Haight Ashbury,37.7669043628814,-122.44812128828016,Entire home/apt,290,5,3,2015-07-23,0.33,1,14
1483653,Cozy apartment in center of SF!,7937498,Kevin,,Haight Ashbury,37.77481753351182,-122.44763562511382,Entire home/apt,200,1,3,2015-08-19,0.12,2,2
7807841,Spacious & Clean Haight-Ashbury Apt,3117099,Helen,,Haight Ashbury,37.77290242764225,-122.44512382636715,Entire home/apt,199,1,0,,,1,228
5285771,Nice 1BD with Parking,17307018,Mark,,Haight Ashbury,37.76515699643772,-122.45254696716721,Entire home/apt,175,2,14,2015-08-16,2.56,1,2
3757966,Cozy Quiet Gorgeous Cole Valley Apt,17088398,Margaret,,Haight Ashbury,37.76334406836363,-122.45027534819278,Entire home/apt,200,2,11,2014-12-14,0.85,1,244
939833,HackerHome - Haight: bunk 5,43806,,,Haight Ashbury,37.769776488975296,-122.43806476664727,Shared room,50,30,28,2015-04-22,0.95,1,365
3068909,Page Street Retreat,13112056,Tor,,Haight Ashbury,37.76994376833676,-122.44889175723341,Entire home/apt,230,3,58,2015-08-27,3.79,1,262
4379621,Elegant apartment in Haight-Ashbury,22740583,Greg,,Haight Ashbury,37.770000067290745,-122.44813676834384,Entire home/apt,211,2,27,2015-08-14,3.01,3,323
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.771873721790115,-122.43859113023433,Entire home/apt,282,3,30,2015-03-06,0.42,32,70
1144148,700sqft Walk Out Patio in Haight,4284256,Bryan,,Haight Ashbury,37.77447499154739,-122.448178012543,Entire home/apt,145,4,15,2015-08-16,0.60,1,233
379349,Best location in San Francisco,1901233,Miriam,,Haight Ashbury,37.76648138782622,-122.44542046625686,Private room,125,3,90,2015-08-15,2.30,1,329
6706199,Excellent location and home,35107182,Richard,,Haight Ashbury,37.76152630881747,-122.44869372261168,Entire home/apt,275,1,0,,,1,247
4966389,Beautiful 2 Bbdm Victorian Flat,1399188,Tana,,Haight Ashbury,37.77385629779847,-122.4466741095042,Entire home/apt,225,5,2,2015-08-23,1.13,1,83
3721167,Top Floor Flat in Cole Valley,1433350,Virginia,,Haight Ashbury,37.766375645830045,-122.4501547426151,Entire home/apt,375,3,1,2014-08-26,0.08,1,326
3458988,HackerHome - Haight: bunk 2,43806,,,Haight Ashbury,37.771288607123125,-122.43830973794181,Shared room,60,30,9,2015-05-19,0.76,1,365
4638571,Cozy Room in the Eclectic Haight,9036130,Izzy,,Haight Ashbury,37.76961042535877,-122.4523057579473,Private room,145,3,0,,,1,259
7717877,Sunny Room near Outside Lands Fest!,9909736,Joanna,,Haight Ashbury,37.77224744878366,-122.44999677148586,Private room,130,1,0,,,1,2
213532,Haight Ashbury Experience Room 4,1032643,Josh,,Haight Ashbury,37.770748671186475,-122.44817447552228,Private room,80,2,170,2015-08-28,3.52,6,306
1851886,Bright & airy condo in Cole Valley,2716431,Abby,,Haight Ashbury,37.766346390522116,-122.45172343175172,Entire home/apt,250,4,7,2014-12-25,0.34,1,207
607500,Experience San Francisco in Style!,1805856,Adam N Alex,,Haight Ashbury,37.76668080565175,-122.45095170836477,Entire home/apt,825,2,23,2015-08-21,0.65,1,348
1721354,Flat & Garden in Historic Victorian,619278,Andrew,,Haight Ashbury,37.76813383856089,-122.44629017125048,Entire home/apt,295,2,5,2014-12-22,0.39,1,307
1122318,HackerHome - Haight: private room,43806,,,Haight Ashbury,37.77262386914153,-122.44347867264638,Private room,75,30,19,2015-08-15,0.68,1,365
2801419,Large One Bedroom in Cole Valley!,14327519,Jeff,,Haight Ashbury,37.76716253875625,-122.44917716283435,Entire home/apt,275,2,11,2015-08-23,0.85,1,348
149108,QUIET LUXURY COLE VALLEY PARKING,719538,Margaret,,Haight Ashbury,37.76100953756335,-122.45068669162194,Entire home/apt,300,2,2,2015-07-26,0.15,1,307
5031525,"Sunny, Spacious NOPA Garden Studio",21789834,Gabi,,Haight Ashbury,37.774778238079826,-122.44010951661937,Entire home/apt,185,3,13,2015-08-01,2.50,1,304
336133,Live Like a Local 1 Bedroom Flat,1658540,Trent,,Haight Ashbury,37.77290982277912,-122.44069535281275,Entire home/apt,189,3,5,2012-10-07,0.14,1,71
4572674,Beautiful Edwardian Top Floor Flat,23702761,Colm And Monica,,Haight Ashbury,37.77257166967358,-122.44348216993129,Entire home/apt,250,3,14,2015-06-07,1.50,1,242
2736358,Garden Retreat steps from Haight St,8638224,Sara,,Haight Ashbury,37.767464651512164,-122.44482720597567,Entire home/apt,180,2,87,2015-08-16,5.46,1,250
1130628,In The Heart of Haight/Ashbury # 2,4677165,Ashirvadam,,Haight Ashbury,37.77213682212853,-122.44765868838796,Private room,79,1,98,2015-08-22,3.50,6,321
3951141,2 Bedroom w Views in Ashbury Hgts!,3364675,Alicia,,Haight Ashbury,37.76447211068587,-122.44508521101422,Entire home/apt,350,2,4,2015-07-13,0.35,1,344
3456155,Cole Valley Designer Victorian,634639,David,,Haight Ashbury,37.766421310031994,-122.45100932565033,Entire home/apt,275,5,6,2015-08-22,0.51,1,244
7388234,Spacious room on panhandle 8/9-16,787115,Carlie,,Haight Ashbury,37.770652299109486,-122.44953124016394,Private room,80,1,2,2015-08-16,2,1,21
6934361,Spacious 3 Bd Cole Valley Edwardian,6829041,Marjorie,,Haight Ashbury,37.76418841042636,-122.44953241379591,Entire home/apt,400,1,2,2015-07-08,0.92,1,47
930955,Large central 3BR/2BA with parking,5014272,Luke And Sue,,Haight Ashbury,37.75982723986713,-122.44820492059885,Entire home/apt,500,3,89,2015-08-19,2.91,1,271
3133266,Luxe Modern Cole Valley Victorian ,837274,Jay And Tina,,Haight Ashbury,37.76892227717711,-122.44823847468754,Entire home/apt,600,5,10,2015-07-15,0.69,3,208
3491545,HackerHome - SF Buena Vista: bunk 3,43806,,,Haight Ashbury,37.77117056222283,-122.43903608157754,Shared room,55,30,11,2015-05-09,0.80,1,355
3491540,HackerHome - Haight: bunk 3,43806,,,Haight Ashbury,37.771365305129756,-122.4377423588888,Shared room,70,30,9,2015-05-26,0.66,1,340
4477314,Classic 3 Br Victorian Appt in NOPA,2040336,,,Haight Ashbury,37.774134253804554,-122.443626342059,Entire home/apt,300,4,9,2015-07-15,1.05,1,37
3194383,Heart of Cole Valley/Ashbury Height,3186516,Kristin,,Haight Ashbury,37.763565364571114,-122.45119516557403,Entire home/apt,90,2,7,2015-08-25,0.53,1,242
4046133,"Cozy Master Bedroom (quiet, clean)",4266280,Michael,,Haight Ashbury,37.771417879824305,-122.44965909802853,Private room,115,14,0,,,1,336
3749769,"Studio Apartment, Golden Gate Park",19183793,Miro,,Haight Ashbury,37.77271403611075,-122.4528611646367,Entire home/apt,150,2,11,2015-06-01,0.87,1,326
2570105,1 clean bedroom @ Haight-Ashbury,13158240,Lotti,,Haight Ashbury,37.77303803031857,-122.4454243669676,Private room,139,14,10,2015-08-22,0.70,1,172
1947404,Sunny Cole Valley getaway,2724873,Henry,,Haight Ashbury,37.76786989393717,-122.45091371195632,Entire home/apt,170,2,22,2015-02-25,1.17,1,0
1259727,Gorgeous house in Cole Valley,6860347,Eran,,Haight Ashbury,37.76651004110388,-122.44588817189054,Entire home/apt,200,9,2,2015-07-21,0.92,1,116
2407150,Modern Apt in Cole Valley,10073905,Bixby,,Haight Ashbury,37.759338987380836,-122.45027711586049,Entire home/apt,10000,3,4,2014-09-15,0.29,1,365
7345947,3 Bdrm/3 Bath Haight-Ashbury Apt.,38386064,Colin,,Haight Ashbury,37.769465045412005,-122.45286227448392,Entire home/apt,250,1,0,,,1,24
1783174,A New Sunny Upscale 4br/2ba Home,7397414,Avry,,Haight Ashbury,37.76795052166789,-122.44690309887766,Entire home/apt,350,2,86,2015-08-19,3.78,1,69
3454059,HackerHome - Haight: bunk 1,43806,,,Haight Ashbury,37.77107347397199,-122.43745580311462,Shared room,50,30,12,2015-08-28,1.03,1,365
4198069,Bright and Sunny Studio near Haight,7682848,Lucy,,Haight Ashbury,37.773128608677446,-122.4522177545159,Entire home/apt,180,2,15,2015-08-17,1.35,1,0
2046552,Perfect Large/Multi-Family Getaway,10491767,Tom,,Haight Ashbury,37.76913349560624,-122.4456033551338,Entire home/apt,375,4,16,2015-08-03,1.92,1,25
7619767,San Francisco -  Quaint Cole Valley,39964691,Arthur,,Haight Ashbury,37.76316026248858,-122.45076353212923,Entire home/apt,900,1,0,,,1,334
6467452,Spacious flat near Haight/Ashbury,31169422,Theodore,,Haight Ashbury,37.77524538668034,-122.44805106289387,Entire home/apt,155,21,0,,,1,79
8071493,Amazing Cole Valley/Haight Flat,1191853,Steve,,Haight Ashbury,37.76914447733892,-122.44958490881855,Private room,90,1,0,,,2,356
209514,Haight Ashbury Experience Room 2,1032643,Josh,,Haight Ashbury,37.77107801756118,-122.44963259309752,Private room,85,2,154,2015-08-24,3.18,6,312
6730006,"Bright, Beautiful Bedroom",15655787,Kelsey,,Haight Ashbury,37.77222827971117,-122.45172380914306,Private room,65,14,1,2015-07-21,0.68,1,61
3459007,HackerHome - Haight: bunk 6,43806,,,Haight Ashbury,37.76941651756407,-122.43900152632675,Shared room,50,30,6,2015-07-18,0.43,1,365
962126,Charming 3 BR Cole Valley Flat ,5240472,,,Haight Ashbury,37.765271659850654,-122.45136410011135,Entire home/apt,300,31,13,2015-01-16,0.76,2,184
798222,Room in sunny home with porch!,50823,Emily,,Haight Ashbury,37.77061205201268,-122.45250082861578,Private room,159,6,27,2014-08-16,0.83,1,0
4371259,Gorgeous Victorian 4 bedroom,18859897,Patrick,,Haight Ashbury,37.769510779673745,-122.44995345571452,Entire home/apt,630,2,49,2015-08-10,4.93,1,14
3945201,San Francisco - NOPA/HAIGHT,10345232,Allyson,,Haight Ashbury,37.772906469874634,-122.44637181906388,Entire home/apt,295,2,2,2015-07-27,0.21,1,264
7481145,Cute 2BR Apt in Haight,10934623,Tisa,,Haight Ashbury,37.77039334876454,-122.44599330421221,Entire home/apt,218,1,0,,,3,305
5196859,Haight Ashbury Edwardian condo: 1BD,249857,Carissa,,Haight Ashbury,37.77174914817419,-122.44824441643794,Private room,120,1,24,2015-08-31,3.36,2,58
4508644,Sunny 2 Bedroom in the Haight,2341112,Griffin,,Haight Ashbury,37.769219919464035,-122.44793589035928,Entire home/apt,225,5,19,2015-07-28,2.15,1,71
6328186,Welcome to The Jungalow,665101,Bola,,Haight Ashbury,37.773861032136445,-122.44396468210336,Private room,500,1,5,2015-08-15,1.44,2,309
3122882,Friendly Inviting Room in NOPA,10354038,Kara,,Haight Ashbury,37.77566960624119,-122.44607636391294,Private room,140,1,48,2015-08-23,3.10,1,327
7022309,Sunny Queen in a restored Edwardian,9177164,,,Haight Ashbury,37.7749760890614,-122.44355424981231,Private room,130,2,5,2015-08-23,4.29,1,311
8103392,2BR1BA home by Alamo Square Park!,42527309,Cesar A.,,Haight Ashbury,37.773520327282945,-122.4406356744301,Entire home/apt,249,3,0,,,1,330
298992,Sunny Apt next to Golden Gate Park,1407663,Tamiz,,Haight Ashbury,37.77108533874622,-122.4502176336071,Entire home/apt,250,2,1,2015-08-10,1,1,243
5895521,Apartment share Buena Vista Park,4166765,Celine,,Haight Ashbury,37.765252385076195,-122.4441724124731,Private room,160,1,0,,,1,331
2854817,"Haight-Ashbury, The Flat with a Cat",10143392,Ksusha,,Haight Ashbury,37.77005875531145,-122.45012534738092,Entire home/apt,160,3,9,2015-07-06,0.58,1,206
4236576,Guest room Casa Fantistico ,15399047,Peter,,Haight Ashbury,37.761068737156215,-122.45091588273354,Private room,150,1,2,2015-06-30,0.78,6,365
4236507,Cole Valley Villas:  Garden Bedroom,15399047,Peter,,Haight Ashbury,37.76065265242434,-122.45119716355849,Private room,99,1,0,,,6,365
8084346,"Large 4 Bdr, for Dreamforce",17737725,Ryan,,Haight Ashbury,37.77042859508476,-122.43839132488202,Entire home/apt,1500,3,0,,,1,8
894118,Wonderful SF Studio Apartment!,417338,Nick,,Haight Ashbury,37.76782457787838,-122.44231301485439,Entire home/apt,145,1,19,2015-08-31,0.64,1,74
6202483,Cozy 1BD in Haight Ashbury,31079910,David,,Haight Ashbury,37.770661814504244,-122.44741138467703,Entire home/apt,150,3,0,,,1,108
2303080,Incredibly Detailed Masterpiece!,6623016,Vikram,,Haight Ashbury,37.77051333566753,-122.44424029310078,Entire home/apt,250,1,8,2015-08-18,4.21,1,233
749744,Unique Cole Valley Garden Retreat ,3940564,Camille,,Haight Ashbury,37.76738589580288,-122.44930375945344,Entire home/apt,295,2,60,2015-08-17,1.87,1,328
